adr_diph1_001|Nu este treaba lor ce constituție avem.|Nu este treaba lor ce constituţie avem.
adr_diph1_002|Ea era tot timpul pe minge.|Ea era tot timpul pe minge.
adr_diph1_003|Nicuare crede că acest concurs va avea succes.|Nicoară crede că acest concurs va avea succes.
adr_diph1_004|Afganistanul va fi reprezentat la adunarea generală de ministrul de externe a declaratul responsabil al misiunii.|Afganistanul va fi reprezentat la adunarea generală de ministrul de externe, a declarat un responsabil al misiunii.
adr_diph1_005|Evenimentul are cascob facilitarea schimbului de idei privind viitorul securității energetice în aceste regiuni.|Evenimentul are ca scop facilitarea schimbului de idei privind viitorul securităţii energetice în aceste regiuni.
adr_diph1_006|La serviciu vin dimineață iar acasă ajung seară.|La serviciu vin dimineaţa iar acasă ajung seara.
adr_diph1_007|Am intervenit să aplanesc conflictul.|Am intervenit să aplanez conflictul.
adr_diph1_008|dacă lucrurile scapă de sub control.|Dacă lucrurile scapă de sub control.
adr_diph1_009|Atenție, eu sunt ceful aici!|Atenţie eu sunt şeful aici.
adr_diph1_010|Domnul Bergodie era bine venit la match, chiar dacă dumnealui nu mai face parte din staff.|Domnul Bergodi era bine venit la meci chiar dacă dumnealui nu mai face parte din staf.
adr_diph1_011|În caz contrar, se va ajunge la amânarea prezentului.|în caz contrar se va ajunge la amânarea prezentului.
adr_diph1_012|cum era să rătesc meciul cu rapid din cupă a României.|Cum era să ratez meciul cu rapid din cupa româniei.
adr_diph1_013|Sudamericanii sunt însă mai boemi.|Sud americanii sunt însă mai boemi.
adr_diph1_014|Am hotărât să urmez cariera militară.|Am hotărât să urmez cariera militară.
adr_diph1_015|Sunt și acele tatuaje o minciună.|Sunt şi acele tatuaje o minciună.
adr_diph1_016|Aici a continuat studiile.|Aici şia continuat studiile.
adr_diph1_017|La acel restaurant avem asigurată masă.|La acel restaurant avem asigurată masa.
adr_diph1_018|Cei care l-au cunoscut au doar cuvinte de laude despre fostul patron de la AERIS PAB.|Cei care lau cunoscut au doar cuvinte de laudă despre fostul patron de la airiş, pab.
adr_diph1_019|Nu e vina oamenilor că nu au de lucru.|Nu e vina oamenilor că nu au de lucru.
adr_diph1_020|În schimb va construi podul pe cheltuiala lui.|în schimb va construi podul pe cheltuiala lui.
adr_diph1_021|De multe ori jucam fotbal cu mingea de tenis.|De multe ori jucam fotbal cu mingea de tenis.
adr_diph1_022|Îmi plac foarte mult căței.|îmi plac foarte mult căţeii.
adr_diph1_023|Aceasta va ramane in libertate timp de 3 luni pentru tratamente medicale.|Aceasta va rămâne în libertate timp de trei luni pentru tratamente medicale.
adr_diph1_024|Pe data de 10 octombrie toate depozitele de gaze pe care le are România vor fi pline ochi.|Pe data de zece octombrie toate depozitele de gaze pe care le are România vor fi pline ochi.
adr_diph1_025|Astfel cred că realitățile nu se vor schimba mult timp pe aici.|Altfel cred că realităţile nu se vor schimba mult timp pe aici.
adr_diph1_026|îl vor redescoperi pe Marx.|îl vor redescoperi pe marx.
adr_diph1_027|Emisarul Statelorunite Mark H.|Emisarul Statelor Unite Mark H.
adr_diph1_028|Cei mai mulți sunt zilieri.|Cei mai mulţi sunt zilieri.
adr_diph1_029|Tirajul lor este simbolic între 2.000 și 3.000 de exemplare zilnic.|Tirajul lor este simbolic între două mii şi trei mii de exemplare zilnic.
adr_diph1_030|Suspectul principal va fi reaudiat.|Suspectul principal va fi reaudiat.
adr_diph1_031|Să măncumăm ișcutati!|Semăn cu mamii şi cu tatii.
adr_diph1_032|Gorjenii sunt liniștiți, vor evolua cu o țelul.|Gorjenii sunt liniştiţi vor evolua cu oţelul.
adr_diph1_033|Sunt resursele cele mai bogate comparativ cu restul resurselor care există, ceea ce ar putea inseamna schimbarea industrii petroliere.|Sunt resursele cele mai bogate comparativ cu restul resurselor care există, ceea ce ar putea însemna schimbarea industriei petroliere.
adr_diph1_034|În opinia mea, aici este cheia.|în opinia mea aici este cheia.
adr_diph1_035|Aceasta nu aduce atingere rezultatului procedurii, spun oficialii Comisiei Europene în comunicat.|Aceasta nu aduce atingere rezultatului procedurii spun oficialii comisiei europene în comunicat.
